"source","target","label"
"Section_a6865ed6725cafd2","Reference_35b2eae5e885fbae","CITES"
"Section_a6865ed6725cafd2","Reference_47eb1af4e59ed76f","CITES"
"Section_a6865ed6725cafd2","Reference_d34f65871a4b0b8e","CITES"
"Section_a6865ed6725cafd2","Reference_00f7a620e710a2c4","CITES"
"Section_a6865ed6725cafd2","GlossaryTerm_491345f85c29d1bc","DEFINES"
"Section_a6865ed6725cafd2","GlossaryTerm_1f91b686341ca24d","DEFINES"
"Section_a6865ed6725cafd2","GlossaryTerm_98cfac4039d91f8f","DEFINES"
"Section_f87b9422299b0b7f","NormativeStatement_315533d12f69e530","STATES"
"Section_f87b9422299b0b7f","NormativeStatement_4c5d97b1f411ca80","STATES"
"Section_f87b9422299b0b7f","NormativeStatement_0c7eaf0dc1506330","STATES"
"Section_f87b9422299b0b7f","NormativeStatement_a869e10fc52d7a7e","STATES"
"Section_f87b9422299b0b7f","NormativeStatement_4e50ab2ed10e714f","STATES"
"Section_f87b9422299b0b7f","NormativeStatement_abde7150cc520de6","STATES"
"Section_f87b9422299b0b7f","NormativeStatement_ac515ff23defc1bf","STATES"
"Section_f87b9422299b0b7f","NormativeStatement_6599a6c38ef58b2d","STATES"
"Section_010455e1eace07a3","Reference_70a903ebef809cb0","CITES"
"Section_010455e1eace07a3","Reference_98f99d50519c7783","CITES"
"Section_010455e1eace07a3","Reference_9cf0a0f3b954bb95","CITES"
"Section_878cd70a885bc87e","Reference_32ca67ba45395b23","CITES"
"Section_878cd70a885bc87e","Reference_48fab6b5adfbd372","CITES"
"Section_878cd70a885bc87e","Reference_434327582c845695","CITES"
"Section_878cd70a885bc87e","Reference_cff9c9020112dd11","CITES"
"Section_878cd70a885bc87e","Reference_b7a36fa5b9cada83","CITES"
"Section_878cd70a885bc87e","Reference_47577211981a342f","CITES"
"Section_878cd70a885bc87e","Reference_88a06eb04a8c29a8","CITES"
"Section_878cd70a885bc87e","Reference_e11afaf4b1675f98","CITES"
"Section_878cd70a885bc87e","Reference_8680cf35392276ad","CITES"
"Section_878cd70a885bc87e","Reference_81eb79a55c75c917","CITES"
"Section_878cd70a885bc87e","NormativeStatement_d5bef96e9b2c4539","STATES"
"Section_878cd70a885bc87e","NormativeStatement_ee4a6756fd094b57","STATES"
"Section_878cd70a885bc87e","NormativeStatement_baf897610514f802","STATES"
"Section_29eff350a17dfd25","Reference_7c09d67c68242704","CITES"
"Section_29eff350a17dfd25","Reference_204420414b9e4d0f","CITES"
"Section_29eff350a17dfd25","Reference_623808f656655275","CITES"
"Section_29eff350a17dfd25","Reference_53caa818b9157353","CITES"
"Section_29eff350a17dfd25","Reference_28b23694c1c4af24","CITES"
"Section_29eff350a17dfd25","Reference_b7751c9035097999","CITES"
"Section_29eff350a17dfd25","Reference_d0b913d5600e8c0d","CITES"
"Section_29eff350a17dfd25","Reference_aa675f051e7b38b3","CITES"
"Section_c62dec2b1e221f04","Reference_9ae7f9609ef853d7","CITES"
"Section_c62dec2b1e221f04","Reference_62741e9cfacd7f7b","CITES"
"Section_95e2a6cddf335ad7","Reference_ba010c7070b4391b","CITES"
"Section_95e2a6cddf335ad7","Reference_112baf3a810b1a32","CITES"
"Section_95e2a6cddf335ad7","Reference_14f09d49ce84b334","CITES"
"Section_3b6a11f95583d17e","Reference_e6b2d2aeb743c47f","CITES"
"Section_3b6a11f95583d17e","Reference_ca8f2ea836b73201","CITES"
"Section_3b6a11f95583d17e","Reference_80fa9ee08c044af2","CITES"
"Section_3b6a11f95583d17e","Reference_14f09d49ce84b334","CITES"
"Section_d53ff1a8fd977efb","Reference_91bfadacdb306dd9","CITES"
"Section_d53ff1a8fd977efb","Reference_eccd66bea4b7ddc3","CITES"
"Section_d53ff1a8fd977efb","Reference_14d90459141b8268","CITES"
"Section_d53ff1a8fd977efb","Reference_a32737768812a766","CITES"
"Section_d53ff1a8fd977efb","Reference_c40d9706f664c1f1","CITES"
"Section_99916d52fafff0b7","Reference_fd00fe36db87f177","CITES"
"Section_99916d52fafff0b7","Reference_a1de9d01b59b2cbc","CITES"
"Section_99916d52fafff0b7","Reference_2813c460b5147927","CITES"
"Section_99916d52fafff0b7","Reference_2fb0e453a39ec96b","CITES"
"Section_a37a179655406fd7","Reference_430d93ae216cff29","CITES"
"Section_a37a179655406fd7","Reference_8674af71fe2b4574","CITES"
"Section_0490d24e576fdc03","Reference_f8fabdda94175246","CITES"
"IEEE830Standard_9494168a55fd7c62","Section_a6865ed6725cafd2","HAS_SECTION"
"IEEE830Standard_9494168a55fd7c62","Section_f87b9422299b0b7f","HAS_SECTION"
"IEEE830Standard_9494168a55fd7c62","Section_010455e1eace07a3","HAS_SECTION"
"IEEE830Standard_9494168a55fd7c62","Section_878cd70a885bc87e","HAS_SECTION"
"IEEE830Standard_9494168a55fd7c62","Section_29eff350a17dfd25","HAS_SECTION"
"IEEE830Standard_9494168a55fd7c62","Section_c62dec2b1e221f04","HAS_SECTION"
"IEEE830Standard_9494168a55fd7c62","Section_95e2a6cddf335ad7","HAS_SECTION"
"IEEE830Standard_9494168a55fd7c62","Section_3b6a11f95583d17e","HAS_SECTION"
"IEEE830Standard_9494168a55fd7c62","Section_d53ff1a8fd977efb","HAS_SECTION"
"IEEE830Standard_9494168a55fd7c62","Section_99916d52fafff0b7","HAS_SECTION"
"IEEE830Standard_9494168a55fd7c62","Section_0589121286c9ad89","HAS_SECTION"
"IEEE830Standard_9494168a55fd7c62","Section_a37a179655406fd7","HAS_SECTION"
"IEEE830Standard_9494168a55fd7c62","Section_0490d24e576fdc03","HAS_SECTION"
"IEEE830Standard_9494168a55fd7c62","Section_7c53a8ed8c740dd1","HAS_SECTION"
"IEEE830Standard_9494168a55fd7c62","Section_6fa14c71efd52e6e","HAS_SECTION"
"IEEE830Standard_9494168a55fd7c62","Section_693f736b73b43e64","HAS_SECTION"
"IEEE830Standard_9494168a55fd7c62","Section_e5b2eda0d7b07be1","HAS_SECTION"
"IEEE830Standard_9494168a55fd7c62","Section_67c320889f5b0ec7","HAS_SECTION"
"IEEE830Standard_9494168a55fd7c62","Section_03dc5db2419beb95","HAS_SECTION"
"IEEE830Standard_9494168a55fd7c62","Section_17deb99907addd3f","HAS_SECTION"
"IEEE830Standard_9494168a55fd7c62","Reference_35b2eae5e885fbae","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_47eb1af4e59ed76f","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_d34f65871a4b0b8e","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_00f7a620e710a2c4","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_70a903ebef809cb0","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_98f99d50519c7783","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_9cf0a0f3b954bb95","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_32ca67ba45395b23","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_48fab6b5adfbd372","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_434327582c845695","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_cff9c9020112dd11","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_b7a36fa5b9cada83","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_47577211981a342f","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_88a06eb04a8c29a8","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_e11afaf4b1675f98","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_8680cf35392276ad","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_81eb79a55c75c917","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_7c09d67c68242704","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_204420414b9e4d0f","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_623808f656655275","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_53caa818b9157353","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_28b23694c1c4af24","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_b7751c9035097999","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_d0b913d5600e8c0d","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_aa675f051e7b38b3","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_e6b2d2aeb743c47f","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_ca8f2ea836b73201","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_80fa9ee08c044af2","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_190bcabd364d07c9","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_eccd66bea4b7ddc3","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_14d90459141b8268","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_a32737768812a766","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_c40d9706f664c1f1","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_fd00fe36db87f177","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_a1de9d01b59b2cbc","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_2813c460b5147927","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_2fb0e453a39ec96b","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_f8fabdda94175246","HAS_REFERENCE"
"IEEE830Standard_9494168a55fd7c62","Reference_430d93ae216cff29","HAS_REFERENCE"
